,,,,,,,,
16657,2016-06-15,2016-12-15,,,,,,
16658,2016-06-15,2017-06-15,,,,,,
16659,2016-06-15,2016-12-15,,,,,,
16661,2016-06-15,2016-12-15,,,,,,
16662,2016-06-16,2016-06-16,,,,,,
16666,2016-06-17,2016-12-17,,,,,,
16667,2016-06-17,2017-06-17,,,,,,
16668,2016-06-17,2017-06-17,,,,,,
16669,2016-06-17,2016-12-17,,,,,,
16670,2016-06-18,2016-12-18,,,,,,
16671,2016-06-18,2016-12-18,,,,,,
16672,2016-06-18,2017-06-18,,,,,,
16673,2016-06-18,2017-06-18,,,,,,
16675,2016-06-20,2016-12-20,,,,,,
16676,2016-06-20,2017-06-20,,,,,,
16677,2016-06-20,2017-06-20,,,,,,
16679,2016-06-20,2017-06-20,,,,,,
16681,2016-06-21,2016-12-21,,,,,,
16682,2016-06-22,2016-12-22,,,,,,
16684,2016-06-22,2017-06-22,,,,,,
16685,2016-06-23,2017-06-23,,,,,,
16686,2016-06-23,2016-12-23,,,,,,
16687,2016-06-23,2016-12-23,,,,,,
16688,2016-06-24,2016-12-24,,,,,,
16689,2016-06-25,2017-06-25,,,,,,
16690,2016-06-25,2016-12-25,,,,,,
16691,2016-06-25,2016-12-25,,,,,,
16694,2016-06-25,2016-12-25,,,,,,
16695,2016-06-27,2017-06-27,,,,,,
16697,2016-06-27,2016-12-27,,,,,,
16698,2016-06-27,2016-12-27,,,,,,
16699,2016-06-27,2016-12-27,,,,,,
16700,2016-06-27,2016-12-27,,,,,,
16701,2016-06-28,2016-12-28,,,,,,
16702,2016-06-28,2016-12-28,,,,,,
16703,2016-06-28,2016-12-28,,,,,,
16704,2016-06-28,2016-12-28,,,,,,
16705,2016-06-28,2016-12-28,,,,,,
16706,2016-06-28,2017-06-28,,,,,,
16707,2016-06-28,2016-12-28,,,,,,
16708,2016-06-28,2016-12-28,,,,,,
16709,2016-06-28,2017-06-28,,,,,,
16710,2016-06-28,2017-06-28,,,,,,
16711,2016-06-28,2017-06-28,,,,,,
16712,2016-06-28,2016-12-28,,,,,,
16713,2016-06-29,2016-12-29,,,,,,
16714,2016-06-29,2016-12-29,,,,,,
16716,2016-06-29,2017-06-29,,,,,,
16717,2016-07-01,2017-01-01,,,,,,
16718,2016-07-01,2017-07-01,,,,,,
16719,2016-07-01,2017-01-01,,,,,,
16720,2016-07-01,2017-01-01,,,,,,
16721,2016-07-01,2017-01-01,,,,,,
16722,2016-07-02,2017-01-02,,,,,,
16724,2016-07-05,2017-01-05,,,,,,
16725,2016-07-05,2017-01-05,,,,,,
16726,2016-07-05,2017-01-05,,,,,,
16727,2016-07-05,2017-01-05,,,,,,
16728,2016-07-08,2017-01-08,,,,,,
16730,2016-07-09,2017-01-09,,,,,,
16732,2016-07-09,2017-01-09,,,,,,
16733,2016-07-09,2017-01-09,,,,,,
16734,2016-07-09,2017-01-09,,,,,,
16735,2016-07-11,2017-01-11,,,,,,
16737,2016-07-12,2017-01-12,,,,,,
16738,2016-07-12,2017-01-12,,,,,,
16739,2016-07-12,2017-01-12,,,,,,
16741,2016-07-13,2017-01-13,,,,,,
16742,2016-07-13,2017-01-13,,,,,,
16743,2016-07-14,2017-01-14,,,,,,
16744,2016-07-14,2017-01-14,,,,,,
16745,2016-07-14,2017-01-14,,,,,,
16746,2016-07-14,2017-01-14,,,,,,
16748,2016-07-15,2017-01-15,,,,,,
16749,2016-07-15,2017-01-15,,,,,,
16750,2016-07-16,2017-01-16,,,,,,
16751,2016-07-16,2017-01-16,,,,,,
16752,2016-07-16,2017-01-16,,,,,,
16753,2016-07-16,2017-01-16,,,,,,
16754,2016-07-16,2017-01-16,,,,,,
16755,2016-07-16,2017-01-16,,,,,,
16756,2016-07-16,2017-01-16,,,,,,
16758,2016-07-18,2017-01-18,,,,,,
16759,2016-07-18,2017-07-18,,,,,,
16760,2016-07-18,2017-07-18,,,,,,
16761,2016-07-18,2017-01-18,,,,,,
16762,2016-07-18,2017-07-18,,,,,,
16763,2016-07-18,2017-01-18,,,,,,
16764,2016-07-19,2017-07-19,,,,,,
16766,2016-07-19,2017-01-19,,,,,,
16767,2016-07-19,2017-01-19,,,,,,
16769,2016-07-21,2017-01-21,,,,,,
16772,2016-07-21,2017-01-21,,,,,,
16773,2016-07-21,2017-01-21,,,,,,
16774,2016-07-22,2017-01-22,,,,,,
16775,2016-07-22,2017-01-22,,,,,,
16776,2016-07-22,2017-01-22,,,,,,
16778,2016-07-25,2017-01-25,,,,,,
16779,2016-06-25,2016-12-26,,,,,,
16780,2016-07-25,2017-01-25,,,,,,
16781,2016-07-25,2017-01-25,,,,,,
16784,2016-07-26,2017-01-26,,,,,,
16785,2016-07-26,2017-01-26,,,,,,
16786,2016-07-27,2017-01-27,,,,,,
16787,2016-07-27,2017-01-27,,,,,,
16788,2016-07-27,2017-01-27,,,,,,
16789,2016-07-28,2017-01-28,,,,,,
16790,2016-07-28,2017-01-28,,,,,,
16791,2016-07-28,2017-01-28,,,,,,
16792,2016-07-28,2017-01-28,,,,,,
16793,2016-07-29,2017-01-29,,,,,,
16794,2016-07-29,2017-01-29,,,,,,
16795,2016-07-29,2017-01-29,,,,,,
16796,2016-07-29,2017-01-29,,,,,,
16797,2016-07-29,2017-01-29,,,,,,
16798,2016-07-29,2017-07-29,,,,,,
16799,2016-07-30,2017-01-30,,,,,,
16800,2016-07-30,2017-01-30,,,,,,
16801,2016-07-30,2017-01-30,,,,,,
16802,2016-07-30,2017-01-30,,,,,,
16803,2016-08-02,2017-02-02,,,,,,
16804,2016-08-02,2017-08-02,,,,,,
16805,2016-08-03,2017-02-03,,,,,,
16806,2016-08-03,2017-08-03,,,,,,
16807,2016-08-03,2017-02-03,,,,,,
16808,2016-08-03,2017-08-03,,,,,,
16809,2016-08-03,2017-02-03,,,,,,
16811,2016-08-04,2017-08-04,,,,,,
16812,2016-08-04,2017-02-04,,,,,,
16813,2016-08-05,2017-02-05,,,,,,
16814,2016-08-05,2017-08-05,,,,,,
16815,2016-08-05,2017-02-05,,,,,,
16816,2016-08-05,2017-02-05,,,,,,
16817,2016-08-05,2017-02-05,,,,,,
16818,2016-08-05,2017-02-05,,,,,,
16819,2016-08-06,2017-02-06,,,,,,
16820,2016-08-06,2017-08-06,,,,,,
16821,2016-08-06,2017-02-06,,,,,,
16822,2016-08-06,2017-02-06,,,,,,
16823,2016-08-08,2017-02-06,,,,,,
16824,2016-08-08,2017-08-08,,,,,,
16825,2016-08-08,2017-08-08,,,,,,
16826,2016-08-08,2017-02-08,,,,,,
16827,2016-08-08,2017-02-08,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
